hospital_id,department_id,department_name,date,patients_admitted_count,readmission_count,avg_length_of_stay_days,avg_treatment_cost,readmission_rate_pct,patients_discharged_count,total_staff_in_department,department_efficiency_score
H1,1,Emergency,2020-01-01,6,0,5.0,45346.333333333336,0.0,0,51,83.12
H1,1,Emergency,2020-01-02,6,0,4.0,39448.166666666664,0.0,1,51,83.12
H1,1,Emergency,2020-01-03,3,0,4.333333333333333,21541.333333333332,0.0,3,51,83.12
H1,1,Emergency,2020-01-04,1,0,2.0,29140.0,0.0,2,51,83.12
H1,1,Emergency,2020-01-05,4,0,6.5,55571.25,0.0,2,51,83.12
H1,1,Emergency,2020-01-06,5,0,5.4,33595.0,0.0,1,51,83.12
H1,1,Emergency,2020-01-07,6,0,5.166666666666667,40183.0,0.0,0,51,83.12
H1,1,Emergency,2020-01-08,3,0,5.0,42309.0,0.0,3,51,83.12
H1,1,Emergency,2020-01-09,3,0,3.0,27164.333333333332,0.0,6,51,83.12
H1,1,Emergency,2020-01-10,4,0,6.0,35496.0,0.0,4,51,83.12
H1,1,Emergency,2020-01-11,5,0,3.2,35033.2,0.0,3,51,83.12
H1,1,Emergency,2020-01-12,3,0,3.3333333333333335,26305.0,0.0,7,51,83.12
H1,1,Emergency,2020-01-13,4,0,3.75,14623.75,0.0,2,51,83.12
H1,1,Emergency,2020-01-14,3,0,4.666666666666667,30106.666666666668,0.0,5,51,83.12
H1,1,Emergency,2020-01-15,8,0,5.5,23090.875,0.0,5,51,83.12
H1,1,Emergency,2020-01-16,3,0,2.6666666666666665,42175.666666666664,0.0,5,51,83.12
H1,1,Emergency,2020-01-17,7,0,5.0,44553.71428571428,0.0,3,51,83.12
H1,1,Emergency,2020-01-18,5,0,4.6,55151.6,0.0,6,51,83.12
H1,1,Emergency,2020-01-19,3,0,4.333333333333333,23647.333333333332,0.0,0,51,83.12
H1,1,Emergency,2020-01-20,3,0,5.333333333333333,45508.666666666664,0.0,8,51,83.12
H1,1,Emergency,2020-01-21,3,0,5.0,51098.0,0.0,6,51,83.12
H1,1,Emergency,2020-01-22,6,0,4.0,39097.333333333336,0.0,2,51,83.12
H1,1,Emergency,2020-01-23,5,0,3.4,47169.6,0.0,0,51,83.12
H1,1,Emergency,2020-01-24,9,0,6.111111111111111,27893.88888888889,0.0,8,51,83.12
H1,1,Emergency,2020-01-25,5,0,4.0,40441.2,0.0,8,51,83.12
H1,1,Emergency,2020-01-26,2,0,5.0,13475.0,0.0,5,51,83.12
H1,1,Emergency,2020-01-27,1,0,3.0,65372.0,0.0,3,51,83.12
H1,1,Emergency,2020-01-28,5,1,5.6,47450.2,20.0,3,51,83.12
H1,1,Emergency,2020-01-29,4,0,4.0,34710.0,0.0,3,51,83.12
H1,1,Emergency,2020-01-30,4,1,6.75,40412.0,25.0,6,51,83.12
H1,1,Emergency,2020-01-31,4,0,7.0,33021.25,0.0,5,51,83.12
H1,1,Emergency,2020-02-01,4,0,5.0,31699.0,0.0,2,51,83.12
H1,1,Emergency,2020-02-02,3,0,5.333333333333333,41709.666666666664,0.0,4,51,83.12
H1,1,Emergency,2020-02-03,1,0,9.0,41785.0,0.0,3,51,83.12
H1,1,Emergency,2020-02-04,5,0,5.2,39947.4,0.0,2,51,83.12
H1,1,Emergency,2020-02-05,5,0,4.8,40625.8,0.0,5,51,83.12
H1,1,Emergency,2020-02-06,4,0,6.0,30001.25,0.0,2,51,83.12
H1,1,Emergency,2020-02-07,6,0,4.5,58275.0,0.0,8,51,83.12
H1,1,Emergency,2020-02-08,5,0,4.0,42805.8,0.0,1,51,83.12
H1,1,Emergency,2020-02-09,11,0,7.090909090909091,29534.454545454544,0.0,3,51,83.12
H1,1,Emergency,2020-02-10,2,0,4.5,30016.0,0.0,8,51,83.12
H1,1,Emergency,2020-02-11,5,1,6.2,39635.2,20.0,2,51,83.12
H1,1,Emergency,2020-02-12,3,0,3.6666666666666665,52784.0,0.0,5,51,83.12
H1,1,Emergency,2020-02-13,3,0,3.0,49013.333333333336,0.0,4,51,83.12
H1,1,Emergency,2020-02-14,3,1,4.666666666666667,41171.666666666664,33.33,4,51,83.12
H1,1,Emergency,2020-02-15,3,0,2.0,66744.0,0.0,5,51,83.12
H1,1,Emergency,2020-02-16,6,0,7.0,46150.666666666664,0.0,3,51,83.12
H1,1,Emergency,2020-02-17,2,0,3.5,27487.0,0.0,10,51,83.12
H1,1,Emergency,2020-02-18,5,0,5.2,40159.2,0.0,4,51,83.12
H1,1,Emergency,2020-02-19,5,0,7.0,44266.2,0.0,8,51,83.12
H1,1,Emergency,2020-02-20,1,0,8.0,21698.0,0.0,1,51,83.12
H1,1,Emergency,2020-02-21,4,0,4.5,24963.5,0.0,1,51,83.12
H1,1,Emergency,2020-02-22,2,0,3.5,10761.0,0.0,3,51,83.12
H1,1,Emergency,2020-02-23,3,0,6.333333333333333,43699.666666666664,0.0,2,51,83.12
H1,1,Emergency,2020-02-24,5,0,4.0,27049.2,0.0,4,51,83.12
H1,1,Emergency,2020-02-25,5,0,6.2,47009.6,0.0,5,51,83.12
H1,1,Emergency,2020-02-26,4,0,6.5,23853.25,0.0,3,51,83.12
H1,1,Emergency,2020-02-27,5,0,7.0,36210.2,0.0,3,51,83.12
H1,1,Emergency,2020-02-28,3,0,5.0,46833.333333333336,0.0,6,51,83.12
H1,1,Emergency,2020-02-29,3,0,5.0,59372.0,0.0,3,51,83.12
H1,1,Emergency,2020-03-01,6,0,4.5,46139.333333333336,0.0,1,51,83.12
H1,1,Emergency,2020-03-02,5,0,5.2,35151.4,0.0,3,51,83.12
H1,1,Emergency,2020-03-03,2,0,5.0,36821.0,0.0,8,51,83.12
H1,1,Emergency,2020-03-04,5,0,5.0,35902.4,0.0,5,51,83.12
H1,1,Emergency,2020-03-05,4,0,5.25,45798.25,0.0,4,51,83.12
H1,1,Emergency,2020-03-06,1,0,4.0,81840.0,0.0,5,51,83.12
H1,1,Emergency,2020-03-07,3,0,5.0,31634.0,0.0,2,51,83.12
H1,1,Emergency,2020-03-08,1,0,4.0,31557.0,0.0,3,51,83.12
H1,1,Emergency,2020-03-09,4,0,5.5,14944.25,0.0,4,51,83.12
H1,1,Emergency,2020-03-10,5,0,3.4,28261.4,0.0,3,51,83.12
H1,1,Emergency,2020-03-11,1,0,5.0,19459.0,0.0,6,51,83.12
H1,1,Emergency,2020-03-12,4,0,6.75,41735.0,0.0,5,51,83.12
H1,1,Emergency,2020-03-13,6,0,3.3333333333333335,35986.833333333336,0.0,0,51,83.12
H1,1,Emergency,2020-03-14,5,0,4.8,29028.8,0.0,3,51,83.12
H1,1,Emergency,2020-03-15,4,0,3.0,31975.0,0.0,5,51,83.12
H1,1,Emergency,2020-03-16,4,0,3.75,48242.25,0.0,7,51,83.12
H1,1,Emergency,2020-03-17,5,0,3.8,40315.6,0.0,2,51,83.12
H1,1,Emergency,2020-03-18,1,0,8.0,50166.0,0.0,5,51,83.12
H1,1,Emergency,2020-03-19,4,0,5.25,42932.25,0.0,3,51,83.12
H1,1,Emergency,2020-03-20,6,0,6.166666666666667,26502.833333333332,0.0,6,51,83.12
H1,1,Emergency,2020-03-21,4,0,4.5,42949.5,0.0,2,51,83.12
H1,1,Emergency,2020-03-22,5,0,3.8,42679.6,0.0,1,51,83.12
H1,1,Emergency,2020-03-23,8,0,5.0,43263.875,0.0,4,51,83.12
H1,1,Emergency,2020-03-24,4,0,6.5,25708.75,0.0,4,51,83.12
H1,1,Emergency,2020-03-25,3,0,5.333333333333333,26805.333333333332,0.0,4,51,83.12
H1,1,Emergency,2020-03-26,2,0,5.5,51919.5,0.0,8,51,83.12
H1,1,Emergency,2020-03-27,3,0,8.0,34598.666666666664,0.0,4,51,83.12
H1,1,Emergency,2020-03-28,3,0,6.333333333333333,30572.0,0.0,1,51,83.12
H1,1,Emergency,2020-03-29,3,0,5.0,26410.333333333332,0.0,3,51,83.12
H1,1,Emergency,2020-03-31,3,0,3.0,31051.333333333332,0.0,5,51,83.12
H1,1,Emergency,2020-04-01,5,0,6.4,50992.8,0.0,4,51,83.12
H1,1,Emergency,2020-04-02,1,0,1.0,62703.0,0.0,1,51,83.12
H1,1,Emergency,2020-04-03,4,0,6.25,35900.0,0.0,6,51,83.12
H1,1,Emergency,2020-04-04,2,0,2.5,25790.0,0.0,2,51,83.12
H1,1,Emergency,2020-04-05,5,0,6.4,35742.2,0.0,4,51,83.12
H1,1,Emergency,2020-04-06,5,1,4.8,24939.6,20.0,2,51,83.12
H1,1,Emergency,2020-04-07,7,0,5.857142857142857,47697.857142857145,0.0,3,51,83.12
H1,1,Emergency,2020-04-08,4,0,2.5,38940.75,0.0,2,51,83.12
H1,1,Emergency,2020-04-09,5,0,4.0,35381.4,0.0,4,51,83.12
H1,1,Emergency,2020-04-10,4,0,3.0,28746.25,0.0,4,51,83.12
H1,1,Emergency,2020-04-11,5,0,3.8,27458.2,0.0,7,51,83.12
H1,1,Emergency,2020-04-12,2,0,2.5,35115.5,0.0,6,51,83.12
H1,1,Emergency,2020-04-13,3,0,4.666666666666667,15613.333333333334,0.0,4,51,83.12
H1,1,Emergency,2020-04-14,2,0,6.5,43510.0,0.0,8,51,83.12
H1,1,Emergency,2020-04-15,4,0,5.25,44778.75,0.0,2,51,83.12
H1,1,Emergency,2020-04-16,7,1,3.5714285714285716,33518.42857142857,14.29,6,51,83.12
H1,1,Emergency,2020-04-17,3,0,5.0,23906.333333333332,0.0,3,51,83.12
H1,1,Emergency,2020-04-18,3,0,6.666666666666667,31053.0,0.0,3,51,83.12
H1,1,Emergency,2020-04-19,5,0,3.2,31531.6,0.0,3,51,83.12
H1,1,Emergency,2020-04-20,4,0,4.75,33765.0,0.0,3,51,83.12
H1,1,Emergency,2020-04-21,2,0,6.0,53696.0,0.0,5,51,83.12
H1,1,Emergency,2020-04-22,5,0,4.8,45994.0,0.0,1,51,83.12
H1,1,Emergency,2020-04-23,5,0,5.8,36826.4,0.0,5,51,83.12
H1,1,Emergency,2020-04-24,6,0,7.333333333333333,25845.5,0.0,5,51,83.12
H1,1,Emergency,2020-04-25,5,0,4.6,45625.0,0.0,3,51,83.12
H1,1,Emergency,2020-04-26,3,0,3.3333333333333335,47630.666666666664,0.0,3,51,83.12
H1,1,Emergency,2020-04-27,4,1,4.5,36427.0,25.0,2,51,83.12
H1,1,Emergency,2020-04-28,3,0,5.0,46848.666666666664,0.0,7,51,83.12
H1,1,Emergency,2020-04-29,3,0,6.333333333333333,25762.0,0.0,0,51,83.12
H1,1,Emergency,2020-04-30,3,0,8.666666666666666,54340.666666666664,0.0,4,51,83.12
H1,1,Emergency,2020-05-01,2,0,7.0,34816.0,0.0,4,51,83.12
H1,1,Emergency,2020-05-02,4,1,3.0,29870.5,25.0,7,51,83.12
H1,1,Emergency,2020-05-03,3,0,3.3333333333333335,33418.0,0.0,3,51,83.12
H1,1,Emergency,2020-05-04,4,0,4.25,41881.25,0.0,3,51,83.12
H1,1,Emergency,2020-05-05,2,0,4.5,36287.5,0.0,4,51,83.12
H1,1,Emergency,2020-05-06,4,0,6.0,20327.25,0.0,2,51,83.12
H1,1,Emergency,2020-05-07,5,0,5.6,39085.4,0.0,5,51,83.12
H1,1,Emergency,2020-05-09,1,0,5.0,36754.0,0.0,4,51,83.12
H1,1,Emergency,2020-05-10,1,0,8.0,70658.0,0.0,4,51,83.12
H1,1,Emergency,2020-05-11,5,0,3.4,25836.4,0.0,2,51,83.12
H1,1,Emergency,2020-05-12,5,0,4.8,34106.2,0.0,0,51,83.12
H1,1,Emergency,2020-05-13,2,0,7.0,35264.5,0.0,2,51,83.12
H1,1,Emergency,2020-05-14,1,0,2.0,56635.0,0.0,5,51,83.12
H1,1,Emergency,2020-05-15,7,0,6.285714285714286,55256.857142857145,0.0,4,51,83.12
H1,1,Emergency,2020-05-16,6,0,4.0,20277.5,0.0,3,51,83.12
H1,1,Emergency,2020-05-17,6,0,4.666666666666667,20896.666666666668,0.0,4,51,83.12
H1,1,Emergency,2020-05-18,8,0,4.25,31084.0,0.0,4,51,83.12
H1,1,Emergency,2020-05-19,3,1,3.6666666666666665,46631.333333333336,33.33,4,51,83.12
H1,1,Emergency,2020-05-20,8,0,4.375,39300.0,0.0,4,51,83.12
H1,1,Emergency,2020-05-21,4,0,5.5,23750.25,0.0,3,51,83.12
H1,1,Emergency,2020-05-22,5,0,5.0,36736.2,0.0,9,51,83.12
H1,1,Emergency,2020-05-23,5,0,3.2,46562.0,0.0,7,51,83.12
H1,1,Emergency,2020-05-24,4,0,3.5,24024.0,0.0,5,51,83.12
H1,1,Emergency,2020-05-25,2,0,8.5,42814.5,0.0,8,51,83.12
H1,1,Emergency,2020-05-26,2,0,6.5,20490.0,0.0,2,51,83.12
H1,1,Emergency,2020-05-27,3,0,6.333333333333333,33277.666666666664,0.0,4,51,83.12
H1,1,Emergency,2020-05-28,2,0,5.5,20807.5,0.0,4,51,83.12
H1,1,Emergency,2020-05-29,2,0,7.0,56190.0,0.0,0,51,83.12
H1,1,Emergency,2020-05-31,5,0,4.6,43791.2,0.0,3,51,83.12
H1,1,Emergency,2020-06-01,4,0,6.0,54004.0,0.0,2,51,83.12
H1,1,Emergency,2020-06-02,4,0,3.25,20022.0,0.0,2,51,83.12
H1,1,Emergency,2020-06-03,4,0,3.0,51436.75,0.0,1,51,83.12
H1,1,Emergency,2020-06-04,3,0,2.6666666666666665,47942.0,0.0,9,51,83.12
H1,1,Emergency,2020-06-05,6,0,4.166666666666667,43016.666666666664,0.0,4,51,83.12
H1,1,Emergency,2020-06-06,1,0,2.0,26566.0,0.0,4,51,83.12
H1,1,Emergency,2020-06-07,4,0,6.25,41025.0,0.0,5,51,83.12
H1,1,Emergency,2020-06-08,8,0,5.25,41904.25,0.0,7,51,83.12
H1,1,Emergency,2020-06-09,7,1,4.571428571428571,48103.142857142855,14.29,1,51,83.12
H1,1,Emergency,2020-06-10,5,0,3.8,32545.0,0.0,2,51,83.12
H1,1,Emergency,2020-06-11,4,0,5.0,21448.5,0.0,3,51,83.12
H1,1,Emergency,2020-06-12,1,0,1.0,19968.0,0.0,6,51,83.12
H1,1,Emergency,2020-06-13,5,0,5.4,36988.6,0.0,6,51,83.12
H1,1,Emergency,2020-06-14,4,0,6.25,35820.75,0.0,5,51,83.12
H1,1,Emergency,2020-06-15,6,0,4.333333333333333,22488.833333333332,0.0,2,51,83.12
H1,1,Emergency,2020-06-16,7,0,4.714285714285714,36430.857142857145,0.0,5,51,83.12
H1,1,Emergency,2020-06-17,6,0,3.5,32568.0,0.0,6,51,83.12
H1,1,Emergency,2020-06-18,6,1,4.666666666666667,16791.666666666668,16.67,5,51,83.12
H1,1,Emergency,2020-06-19,2,0,1.5,17078.0,0.0,5,51,83.12
H1,1,Emergency,2020-06-20,6,0,4.5,42022.666666666664,0.0,6,51,83.12
H1,1,Emergency,2020-06-21,7,0,5.142857142857143,42673.0,0.0,5,51,83.12
H1,1,Emergency,2020-06-22,4,0,5.0,45241.0,0.0,5,51,83.12
H1,1,Emergency,2020-06-23,4,0,7.75,30982.5,0.0,4,51,83.12
H1,1,Emergency,2020-06-24,4,1,2.5,33776.25,25.0,5,51,83.12
H1,1,Emergency,2020-06-25,8,0,3.375,42135.0,0.0,4,51,83.12
H1,1,Emergency,2020-06-26,1,0,9.0,38013.0,0.0,5,51,83.12
H1,1,Emergency,2020-06-28,5,0,4.2,20957.8,0.0,6,51,83.12
H1,1,Emergency,2020-06-29,2,0,2.5,31897.5,0.0,4,51,83.12
H1,1,Emergency,2020-06-30,2,0,2.5,37128.0,0.0,6,51,83.12
H1,1,Emergency,2020-07-01,7,1,4.0,39396.71428571428,14.29,1,51,83.12
H1,1,Emergency,2020-07-02,2,0,6.5,39006.5,0.0,1,51,83.12
H1,1,Emergency,2020-07-03,2,0,4.5,47057.5,0.0,5,51,83.12
H1,1,Emergency,2020-07-04,7,0,4.857142857142857,28021.14285714286,0.0,3,51,83.12
H1,1,Emergency,2020-07-05,3,0,6.666666666666667,36401.333333333336,0.0,2,51,83.12
H1,1,Emergency,2020-07-06,6,0,5.5,39814.666666666664,0.0,4,51,83.12
H1,1,Emergency,2020-07-07,2,0,4.5,28008.0,0.0,4,51,83.12
H1,1,Emergency,2020-07-08,4,0,6.25,43099.5,0.0,6,51,83.12
H1,1,Emergency,2020-07-09,2,0,7.0,36512.5,0.0,1,51,83.12
H1,1,Emergency,2020-07-10,1,0,2.0,46615.0,0.0,1,51,83.12
H1,1,Emergency,2020-07-12,4,0,4.0,22300.0,0.0,5,51,83.12
H1,1,Emergency,2020-07-13,3,0,9.0,48302.666666666664,0.0,6,51,83.12
H1,1,Emergency,2020-07-14,7,0,5.714285714285714,38768.42857142857,0.0,1,51,83.12
H1,1,Emergency,2020-07-15,7,0,4.285714285714286,50447.42857142857,0.0,5,51,83.12
H1,1,Emergency,2020-07-16,1,0,2.0,59294.0,0.0,1,51,83.12
H1,1,Emergency,2020-07-17,3,0,5.333333333333333,31962.666666666668,0.0,2,51,83.12
H1,1,Emergency,2020-07-18,3,0,4.0,36709.333333333336,0.0,7,51,83.12
H1,1,Emergency,2020-07-19,2,0,3.5,7989.5,0.0,2,51,83.12
H1,1,Emergency,2020-07-20,3,0,6.666666666666667,25114.0,0.0,2,51,83.12
H1,1,Emergency,2020-07-21,3,0,5.333333333333333,40605.0,0.0,5,51,83.12
H1,1,Emergency,2020-07-22,2,1,1.0,44547.5,50.0,4,51,83.12
H1,1,Emergency,2020-07-23,5,0,2.6,25098.6,0.0,5,51,83.12
H1,1,Emergency,2020-07-24,7,0,6.428571428571429,27925.14285714286,0.0,4,51,83.12
H1,1,Emergency,2020-07-25,4,0,5.75,45738.75,0.0,4,51,83.12
H1,1,Emergency,2020-07-26,1,0,6.0,27508.0,0.0,3,51,83.12
H1,1,Emergency,2020-07-27,3,0,6.666666666666667,25986.666666666668,0.0,4,51,83.12
H1,1,Emergency,2020-07-28,4,0,8.25,45370.25,0.0,0,51,83.12
H1,1,Emergency,2020-07-29,8,0,3.625,43295.625,0.0,1,51,83.12
H1,1,Emergency,2020-07-30,4,0,3.75,50806.0,0.0,6,51,83.12
H1,1,Emergency,2020-07-31,5,0,5.8,52894.0,0.0,2,51,83.12
H1,1,Emergency,2020-08-01,7,0,3.5714285714285716,38093.57142857143,0.0,6,51,83.12
H1,1,Emergency,2020-08-02,3,0,8.666666666666666,63576.333333333336,0.0,4,51,83.12
H1,1,Emergency,2020-08-03,3,0,5.333333333333333,24812.0,0.0,4,51,83.12
H1,1,Emergency,2020-08-04,4,0,4.25,43458.0,0.0,6,51,83.12
H1,1,Emergency,2020-08-05,1,0,5.0,34036.0,0.0,2,51,83.12
H1,1,Emergency,2020-08-06,6,1,5.833333333333333,38322.333333333336,16.67,10,51,83.12
H1,1,Emergency,2020-08-07,5,0,3.2,37240.4,0.0,3,51,83.12
H1,1,Emergency,2020-08-08,3,0,5.333333333333333,30641.333333333332,0.0,4,51,83.12
H1,1,Emergency,2020-08-09,3,0,6.0,48218.333333333336,0.0,3,51,83.12
H1,1,Emergency,2020-08-10,3,0,5.0,24733.0,0.0,5,51,83.12
H1,1,Emergency,2020-08-11,6,0,4.0,39385.333333333336,0.0,3,51,83.12
H1,1,Emergency,2020-08-12,1,0,10.0,47936.0,0.0,4,51,83.12
H1,1,Emergency,2020-08-13,4,0,5.25,41031.25,0.0,6,51,83.12
H1,1,Emergency,2020-08-14,7,0,3.7142857142857144,37429.71428571428,0.0,3,51,83.12
H1,1,Emergency,2020-08-15,7,0,5.714285714285714,56166.57142857143,0.0,3,51,83.12
H1,1,Emergency,2020-08-16,5,0,5.0,36231.4,0.0,3,51,83.12
H1,1,Emergency,2020-08-17,5,0,5.4,39890.8,0.0,7,51,83.12
H1,1,Emergency,2020-08-18,2,0,5.5,28233.0,0.0,4,51,83.12
H1,1,Emergency,2020-08-19,4,0,2.0,36772.5,0.0,4,51,83.12
H1,1,Emergency,2020-08-20,1,0,10.0,45574.0,0.0,5,51,83.12
H1,1,Emergency,2020-08-21,7,0,6.142857142857143,47781.57142857143,0.0,1,51,83.12
H1,1,Emergency,2020-08-22,3,0,2.6666666666666665,47076.0,0.0,2,51,83.12
H1,1,Emergency,2020-08-23,6,0,3.1666666666666665,40286.166666666664,0.0,9,51,83.12
H1,1,Emergency,2020-08-24,2,0,5.0,14964.5,0.0,9,51,83.12
H1,1,Emergency,2020-08-25,2,0,7.0,52323.5,0.0,1,51,83.12
H1,1,Emergency,2020-08-26,5,0,4.8,62245.4,0.0,4,51,83.12
H1,1,Emergency,2020-08-27,3,0,4.0,23631.666666666668,0.0,1,51,83.12
H1,1,Emergency,2020-08-29,6,0,3.1666666666666665,29823.5,0.0,1,51,83.12
H1,1,Emergency,2020-08-30,4,0,4.0,39531.25,0.0,5,51,83.12
H1,1,Emergency,2020-08-31,3,0,2.3333333333333335,40775.333333333336,0.0,5,51,83.12
H1,1,Emergency,2020-09-01,2,0,2.0,59793.5,0.0,6,51,83.12
H1,1,Emergency,2020-09-02,5,1,4.0,55576.6,20.0,3,51,83.12
H1,1,Emergency,2020-09-03,2,0,7.0,71070.0,0.0,7,51,83.12
H1,1,Emergency,2020-09-04,6,0,4.166666666666667,27105.5,0.0,2,51,83.12
H1,1,Emergency,2020-09-05,4,0,3.75,32498.0,0.0,5,51,83.12
H1,1,Emergency,2020-09-06,7,0,6.0,36059.0,0.0,0,51,83.12
H1,1,Emergency,2020-09-07,4,0,5.5,36129.5,0.0,4,51,83.12
H1,1,Emergency,2020-09-09,4,0,5.25,37757.5,0.0,6,51,83.12
H1,1,Emergency,2020-09-10,2,0,3.0,18261.5,0.0,1,51,83.12
H1,1,Emergency,2020-09-11,5,1,4.8,63155.6,20.0,2,51,83.12
H1,1,Emergency,2020-09-12,3,0,3.0,31526.0,0.0,4,51,83.12
H1,1,Emergency,2020-09-13,2,0,4.0,27313.5,0.0,5,51,83.12
H1,1,Emergency,2020-09-14,5,0,4.6,49962.8,0.0,3,51,83.12
H1,1,Emergency,2020-09-15,5,1,5.0,22980.4,20.0,5,51,83.12
H1,1,Emergency,2020-09-16,3,0,4.0,38913.0,0.0,2,51,83.12
H1,1,Emergency,2020-09-17,6,0,4.833333333333333,50421.5,0.0,4,51,83.12
H1,1,Emergency,2020-09-18,3,0,7.0,42915.666666666664,0.0,6,51,83.12
H1,1,Emergency,2020-09-19,5,0,5.8,43684.6,0.0,3,51,83.12
H1,1,Emergency,2020-09-20,8,0,5.25,45274.5,0.0,2,51,83.12
H1,1,Emergency,2020-09-21,4,0,4.5,62119.5,0.0,6,51,83.12
H1,1,Emergency,2020-09-22,3,0,3.3333333333333335,35877.0,0.0,3,51,83.12
H1,1,Emergency,2020-09-23,4,0,4.75,37077.75,0.0,7,51,83.12
H1,1,Emergency,2020-09-24,3,1,3.0,37381.666666666664,33.33,4,51,83.12
H1,1,Emergency,2020-09-25,7,0,5.285714285714286,35823.42857142857,0.0,4,51,83.12
H1,1,Emergency,2020-09-26,3,0,6.0,38569.666666666664,0.0,2,51,83.12
H1,1,Emergency,2020-09-27,5,1,4.6,26331.0,20.0,5,51,83.12
H1,1,Emergency,2020-09-28,3,0,6.666666666666667,50734.0,0.0,3,51,83.12
H1,1,Emergency,2020-09-29,5,0,5.2,49338.2,0.0,4,51,83.12
H1,1,Emergency,2020-09-30,6,0,4.833333333333333,38319.0,0.0,10,51,83.12
H1,1,Emergency,2020-10-01,3,0,3.0,36757.333333333336,0.0,1,51,83.12
H1,1,Emergency,2020-10-02,8,0,3.25,38895.625,0.0,4,51,83.12
H1,1,Emergency,2020-10-03,2,0,1.5,37724.0,0.0,9,51,83.12
H1,1,Emergency,2020-10-04,2,0,6.0,40218.5,0.0,5,51,83.12
H1,1,Emergency,2020-10-05,3,0,2.3333333333333335,32704.666666666668,0.0,4,51,83.12
H1,1,Emergency,2020-10-06,9,0,5.222222222222222,36172.0,0.0,6,51,83.12
H1,1,Emergency,2020-10-07,5,0,3.2,30053.8,0.0,0,51,83.12
H1,1,Emergency,2020-10-08,4,0,6.75,32758.25,0.0,7,51,83.12
H1,1,Emergency,2020-10-09,1,0,7.0,42427.0,0.0,5,51,83.12
H1,1,Emergency,2020-10-10,3,0,7.666666666666667,39516.333333333336,0.0,3,51,83.12
H1,1,Emergency,2020-10-11,4,0,6.75,46456.5,0.0,2,51,83.12
H1,1,Emergency,2020-10-12,3,0,3.6666666666666665,25751.0,0.0,2,51,83.12
H1,1,Emergency,2020-10-13,6,0,3.5,27016.166666666668,0.0,5,51,83.12
H1,1,Emergency,2020-10-14,1,0,3.0,37735.0,0.0,3,51,83.12
H1,1,Emergency,2020-10-15,9,0,6.555555555555555,36462.333333333336,0.0,2,51,83.12
H1,1,Emergency,2020-10-16,5,0,3.2,34358.2,0.0,7,51,83.12
H1,1,Emergency,2020-10-17,3,0,2.0,30713.333333333332,0.0,4,51,83.12
H1,1,Emergency,2020-10-18,2,0,4.5,53045.5,0.0,6,51,83.12
H1,1,Emergency,2020-10-19,4,0,3.25,26914.25,0.0,2,51,83.12
H1,1,Emergency,2020-10-20,4,0,3.75,48505.75,0.0,7,51,83.12
H1,1,Emergency,2020-10-21,5,0,5.0,39611.2,0.0,5,51,83.12
H1,1,Emergency,2020-10-22,4,0,2.75,30145.75,0.0,2,51,83.12
H1,1,Emergency,2020-10-23,3,0,5.666666666666667,41089.666666666664,0.0,6,51,83.12
H1,1,Emergency,2020-10-24,4,0,3.0,50973.25,0.0,3,51,83.12
H1,1,Emergency,2020-10-25,4,0,5.5,39968.5,0.0,4,51,83.12
H1,1,Emergency,2020-10-26,8,0,5.25,30466.75,0.0,5,51,83.12
H1,1,Emergency,2020-10-27,1,0,6.0,19084.0,0.0,5,51,83.12
H1,1,Emergency,2020-10-28,1,0,3.0,25737.0,0.0,3,51,83.12
H1,1,Emergency,2020-10-29,5,0,4.0,36051.6,0.0,3,51,83.12
H1,1,Emergency,2020-10-30,3,1,3.0,20404.333333333332,33.33,3,51,83.12
H1,1,Emergency,2020-10-31,8,0,5.0,28981.875,0.0,4,51,83.12
H1,1,Emergency,2020-11-01,5,0,6.2,24810.8,0.0,2,51,83.12
H1,1,Emergency,2020-11-02,2,0,6.0,35131.0,0.0,6,51,83.12
H1,1,Emergency,2020-11-03,2,1,4.0,32707.5,50.0,3,51,83.12
H1,1,Emergency,2020-11-04,8,0,6.25,33672.5,0.0,3,51,83.12
H1,1,Emergency,2020-11-05,4,0,4.75,49430.75,0.0,4,51,83.12
H1,1,Emergency,2020-11-06,1,0,7.0,12449.0,0.0,5,51,83.12
H1,1,Emergency,2020-11-07,6,0,3.6666666666666665,52233.833333333336,0.0,3,51,83.12
H1,1,Emergency,2020-11-08,5,0,5.6,31226.0,0.0,2,51,83.12
