Hospital_ID,Hospital_Name,Date,Total_Beds,Occupied_Beds,Available_Beds,Total_Admissions,Total_Discharges,Emergency_Admissions,Outpatient_Visits
H004,HealthFirst Medical Institute,2025-08-01,290,237,53,17,19.0,11.0,79.0
H006,Sunrise Community Hospital,2025-06-16,264,212,52,28,29.0,4.0,137.0
H007,Unity Wellness Hospital,2025-10-15,221,157,64,22,19.0,3.0,116.0
H002,CityCare Medical Center,2025-04-24,207,103,104,17,18.0,3.0,116.0
H005,PrimeCare Hospital,2025-11-30,275,147,128,22,28.0,10.0,179.0
H006,Sunrise Community Hospital,2025-04-11,264,168,96,26,17.0,18.0,201.0
H007,Unity Wellness Hospital,2025-05-22,221,140,81,36,28.0,13.0,102.0
H001,MedCare General Hospital,2025-06-28,477,390,87,29,33.0,13.0,175.0
H004,HealthFirst Medical Institute,2025-01-12,290,253,37,19,25.0,14.0,113.0
H005,PrimeCare Hospital,2025-06-06,275,174,101,34,30.0,6.0,61.0
H004,HealthFirst Medical Institute,2025-01-29,290,119,171,23,27.0,7.0,113.0
H005,PrimeCare Hospital,2025-12-15,275,205,70,27,9.0,10.0,107.0
H004,HealthFirst Medical Institute,2025-05-23,290,182,108,28,23.0,13.0,171.0
H006,Sunrise Community Hospital,2025-11-03,264,236,28,36,29.0,5.0,72.0
H003,LifeLine Hospital,2025-03-19,162,135,27,29,23.0,8.0,92.0
H003,LifeLine Hospital,2025-05-24,162,157,5,20,18.0,9.0,128.0
H003,LifeLine Hospital,2025-02-01,162,126,36,25,29.0,1.0,152.0
H006,Sunrise Community Hospital,2025-12-25,264,189,75,24,15.0,6.0,108.0
H003,LifeLine Hospital,2025-05-12,162,85,77,19,22.0,11.0,101.0
H007,Unity Wellness Hospital,2025-06-22,221,137,84,14,36.0,7.0,145.0
H002,CityCare Medical Center,2025-10-25,207,119,88,28,15.0,17.0,105.0
H002,CityCare Medical Center,2025-03-07,207,144,63,38,25.0,9.0,69.0
H003,LifeLine Hospital,2025-06-22,162,93,69,33,16.0,6.0,112.0
H003,LifeLine Hospital,2025-09-04,162,135,27,35,27.0,5.0,145.0
H003,LifeLine Hospital,2025-08-21,162,131,31,9,17.0,9.0,132.0
H007,Unity Wellness Hospital,2025-07-16,221,146,75,42,31.0,7.0,104.0
